TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionAmount_bin,AccountBalance_bin,Target
14.09,Debit,San Diego,ATM,70.0,Doctor,81.0,1.0,5112.21,Very Low,MediumHigh,3
376.24,Debit,Houston,ATM,68.0,Doctor,141.0,1.0,13758.91,Medium,High,2
126.29,Debit,Mesa,Online,19.0,Student,56.0,1.0,1122.35,Low,Low,1
184.5,Debit,Raleigh,Online,26.0,Student,25.000000000000004,1.0,8569.06,Low,High,3
13.45,Debit,Atlanta,Online,44.67844382691544,Student,198.0,1.0,7429.4,Very Low,MediumHigh,0
92.15,Debit,Oklahoma City,ATM,18.0,Student,172.0,1.0,781.68,Very Low,Low,1
7.08,Debit,Seattle,ATM,37.0,Doctor,139.0,1.0,13316.71,Very Low,High,3
171.42,Debit,Indianapolis,Branch,67.0,Retired,291.0,1.0,2796.24,Low,MediumLow,2
106.23,Debit,Detroit,Branch,51.0,Engineer,86.0,1.0,9095.14,Low,High,2
815.96,Debit,Nashville,ATM,55.0,Doctor,120.0,1.0,1021.8800000000001,High,Low,1
17.78,Debit,Albuquerque,Online,52.0,Engineer,59.00000000000001,1.0,7599.5199999999995,Very Low,MediumHigh,0
190.02,Debit,Memphis,Online,21.0,Student,173.0,1.0,1528.81,Low,MediumLow,1
494.52,Debit,Mesa,Branch,24.0,Student,111.0,1.0,1620.02,High,MediumLow,1
781.76,Debit,Memphis,ATM,26.0,Student,123.0,1.0,189.69,High,Low,1
166.99,Debit,Louisville,Online,18.0,Student,134.0,1.0,299.93,Low,Low,2
465.45,Debit,Denver,ATM,36.0,Engineer,129.0,1.0,3465.54,Medium,MediumLow,0
555.8,Debit,Austin,Branch,19.0,Student,158.0,1.0,1131.26,High,Low,0
492.93,Debit,Columbus,Online,39.0,Engineer,234.0,1.0,5109.97,High,MediumHigh,0
18.68,Debit,Albuquerque,Branch,59.0,Retired,106.0,1.0,7948.369999999999,Very Low,High,0
71.48,Debit,Columbus,Online,18.0,Student,169.0,1.0,6568.59,Very Low,MediumHigh,0
